character_name,traits,category
Ana de Armas,"['is_female', 'is_actor']",Acting
Chris Hemsworth,"['is_male', 'is_actor']",Acting
Jennifer Connelly,"['is_female', 'is_actor']",Acting
Natalie Portman,"['is_female', 'is_actor']",Acting
Tom Holland,"['is_male', 'is_actor']",Acting
Daisy Edgar-Jones,"['is_female', 'is_actor']",Acting
Matt Smith,"['is_male', 'is_actor']",Acting
Seung Ha,"['is_female', 'is_actor']",Acting
Austin Butler,"['is_male', 'is_actor']",Acting
Jason Statham,"['is_male', 'is_actor']",Acting
Xaria Dotson,"['is_female', 'is_actor']",Acting
Min Do-yoon,"['is_male', 'is_actor']",Acting
Katherine LaNasa,"['is_female', 'is_actor']",Acting
Millie Bobby Brown,"['is_female', 'is_actor']",Acting
Tom Hanks,"['is_male', 'is_actor']",Acting
Florence Pugh,"['is_female', 'is_actor']",Acting
Cillian Murphy,"['is_male', 'is_actor']",Acting
Taika Waititi,"['is_male', 'is_director']",Directing
Paddy Considine,"['is_male', 'is_actor']",Acting
Mia Goth,"['is_female', 'is_actor']",Acting
Luke Evans,"['is_male', 'is_actor']",Acting
Chris Pratt,"['is_male', 'is_actor']",Acting
Tessa Thompson,"['is_female', 'is_actor']",Acting
Tom Cruise,"['is_male', 'is_actor']",Acting
Angeli Khang,"['is_female', 'is_actor']",Acting
Krithi Shetty,"['is_female', 'is_actor']",Acting
Miles Teller,"['is_male', 'is_actor']",Acting
Park Eun-bin,"['is_female', 'is_actor']",Acting
Bible Wichapas Sumettikul,"['is_male', 'is_actor']",Acting
Liam Neeson,"['is_male', 'is_actor']",Acting
Joey King,"['is_female', 'is_actor']",Acting
Peyton List,"['is_female', 'is_actor']",Acting
Elsa Pataky,"['is_female', 'is_actor']",Acting
Jon Bernthal,"['is_male', 'is_actor']",Acting
Morfydd Clark,"['is_female', 'is_actor']",Acting
Sara Tomko,"['is_female', 'is_actor']",Acting
Hande Erçel,"['is_female', 'is_actor']",Acting
Tom Hardy,"['is_male', 'is_actor']",Acting
Tatiana Maslany,"['is_female', 'is_actor']",Acting
Tanner Buchanan,"['is_male', 'is_actor']",Acting
Junko Mabuki,"['is_female', 'is_actor']",Acting
Sae Bom,"['is_female', 'is_actor']",Acting
Bill Skarsgård,"['is_male', 'is_actor']",Acting
Sylvester Stallone,"['is_male', 'is_actor']",Acting
Sarah Hyland,"['is_female', 'is_actor']",Acting
Richard McWilliams,['is_actor'],Acting
Sydney Sweeney,"['is_female', 'is_actor']",Acting
Vin Diesel,"['is_male', 'is_actor']",Acting
Zhao Lusi,"['is_female', 'is_actor']",Acting
Russell Crowe,"['is_male', 'is_actor']",Acting
Chris Evans,"['is_male', 'is_actor']",Acting
Chloë Grace Moretz,"['is_female', 'is_actor']",Acting
Glen Powell,"['is_male', 'is_actor']",Acting
Chris Pine,"['is_male', 'is_actor']",Acting
Ryan Gosling,"['is_male', 'is_actor']",Acting
Morgan Freeman,"['is_male', 'is_actor']",Acting
Han Yi-seul,"['is_female', 'is_actor']",Acting
Olivia Cooke,"['is_female', 'is_actor']",Acting
Samuel L. Jackson,"['is_male', 'is_actor']",Acting
Jason Momoa,"['is_male', 'is_actor']",Acting
Maisie Williams,"['is_female', 'is_actor']",Acting
Markella Kavenagh,"['is_female', 'is_actor']",Acting
Iris Apatow,"['is_female', 'is_actor']",Acting
Isabel May,"['is_female', 'is_actor']",Acting
Tilda Swinton,"['is_female', 'is_actor']",Acting
Jaimie Alexander,"['is_female', 'is_actor']",Acting
Karen Gillan,"['is_female', 'is_actor']",Acting
Matt Damon,"['is_male', 'is_actor']",Acting
Charlize Theron,"['is_female', 'is_actor']",Acting
Mark Wahlberg,"['is_male', 'is_actor']",Acting
Cole Hauser,"['is_male', 'is_actor']",Acting
Sam Neill,"['is_male', 'is_actor']",Acting
Cara Delevingne,"['is_female', 'is_actor']",Acting
Bryan Cranston,"['is_male', 'is_actor']",Acting
Scarlett Johansson,"['is_female', 'is_actor']",Acting
Timothy Olyphant,"['is_male', 'is_actor']",Acting
Michelle Yeoh,"['is_female', 'is_actor']",Acting
Madeleine Arthur,"['is_female', 'is_actor']",Acting
Neal McDonough,"['is_male', 'is_actor']",Acting
Kang Tae-oh,"['is_male', 'is_actor']",Acting
Virginia Gardner,"['is_female', 'is_actor']",Acting
Gary Coleman,"['is_male', 'is_actor']",Acting
Val Kilmer,"['is_male', 'is_actor']",Acting
Sam Elliott,"['is_male', 'is_actor']",Acting
Julie Michaels,"['is_female', 'is_actor']",Acting
Rhys Ifans,"['is_male', 'is_actor']",Acting
Sadie Sink,"['is_female', 'is_actor']",Acting
Ryan Reynolds,"['is_male', 'is_actor']",Acting
Nicolas Cage,"['is_male', 'is_actor']",Acting
Owen Wilson,"['is_male', 'is_actor']",Acting
Mckenna Grace,"['is_female', 'is_actor']",Acting
Samara Weaving,"['is_female', 'is_actor']",Acting
Christine Bermas,"['is_female', 'is_actor']",Acting
Yoo Jung,"['is_female', 'is_actor']",Acting
Robert Downey Jr.,"['is_male', 'is_actor']",Acting
Dakota Johnson,"['is_female', 'is_actor']",Acting
Kelly Greyson,"['is_female', 'is_actor']",Acting
Jodie Comer,"['is_female', 'is_actor']",Acting
Jake Gyllenhaal,"['is_male', 'is_actor']",Acting
Henry Cavill,"['is_male', 'is_actor']",Acting
Jennifer Landon,"['is_female', 'is_actor']",Acting
Milly Alcock,"['is_female', 'is_actor']",Acting
Al Pacino,"['is_male', 'is_actor']",Acting
Grace Caroline Currey,"['is_female', 'is_actor']",Acting
Richard Madden,"['is_male', 'is_actor']",Acting
John Krasinski,"['is_male', 'is_actor']",Acting
Jenna Ortega,"['is_female', 'is_actor']",Acting
Terence Maynard,"['is_male', 'is_actor']",Acting
Vanessa Kirby,"['is_female', 'is_actor']",Acting
Denzel Washington,"['is_male', 'is_actor']",Acting
Emily Blunt,"['is_female', 'is_actor']",Acting
Mimi Rogers,"['is_female', 'is_actor']",Acting
Jackie Chan,"['is_male', 'is_actor']",Acting
James Spader,"['is_male', 'is_actor']",Acting
Benedict Wong,"['is_male', 'is_actor']",Acting
Finn Wolfhard,"['is_male', 'is_actor']",Acting
Paul Rudd,"['is_male', 'is_actor']",Acting
Uma Thurman,"['is_female', 'is_actor']",Acting
Amber Midthunder,"['is_female', 'is_actor']",Acting
Anne Hathaway,"['is_female', 'is_actor']",Acting
Adria Arjona,"['is_female', 'is_actor']",Acting
Jared Leto,"['is_male', 'is_actor']",Acting
Alison Brie,"['is_female', 'is_actor']",Acting
Keke Palmer,"['is_female', 'is_actor']",Acting
Mila Kunis,"['is_female', 'is_actor']",Acting
Channing Tatum,"['is_male', 'is_actor']",Acting
Sunny Sandler,"['is_female', 'is_actor']",Acting
AJ Raval,"['is_female', 'is_actor']",Acting
Ed Harris,"['is_male', 'is_actor']",Acting
Ginger Gonzaga,"['is_female', 'is_actor']",Acting
Rachel Weisz,"['is_female', 'is_actor']",Acting
Matthew Finlan,"['is_male', 'is_actor']",Acting
Andy García,"['is_male', 'is_actor']",Acting
Timothée Chalamet,"['is_male', 'is_actor']",Acting
Hayden Christensen,"['is_male', 'is_actor']",Acting
Mel Gibson,"['is_male', 'is_actor']",Acting
Idris Elba,"['is_male', 'is_actor']",Acting
Brad Pitt,"['is_male', 'is_actor']",Acting
Rose Van Ginkel,"['is_female', 'is_actor']",Acting
Rei Akasaka,"['is_female', 'is_actor']",Acting
Dacre Montgomery,"['is_male', 'is_actor']",Acting
Dominic Sherwood,"['is_male', 'is_actor']",Acting
Gaten Matarazzo,"['is_male', 'is_actor']",Acting
Amanda Seyfried,"['is_female', 'is_actor']",Acting
Milla Jovovich,"['is_female', 'is_actor']",Acting
Kelsey Asbille,"['is_female', 'is_actor']",Acting
Bruce Willis,"['is_male', 'is_actor']",Acting
Lewis Pullman,"['is_male', 'is_actor']",Acting
Luke Grimes,"['is_male', 'is_actor']",Acting
Lily James,"['is_female', 'is_actor']",Acting
Rosa Salazar,"['is_female', 'is_actor']",Acting
Ian Somerhalder,"['is_male', 'is_actor']",Acting
Eva Green,"['is_female', 'is_actor']",Acting
Bryce Dallas Howard,"['is_female', 'is_actor']",Acting
Kelly McGillis,"['is_female', 'is_actor']",Acting
Christian Bale,"['is_male', 'is_actor']",Acting
Zendaya,"['is_female', 'is_actor']",Acting
Miles Wei,"['is_male', 'is_actor']",Acting
Antony Starr,"['is_male', 'is_actor']",Acting
Yoon Phusanu Wongsavanischakorn,"['is_male', 'is_actor']",Acting
Kat Graham,"['is_female', 'is_actor']",Acting
Jonathan Banks,"['is_male', 'is_actor']",Acting
Ethan Hawke,"['is_male', 'is_actor']",Acting
Kelly Lynch,"['is_female', 'is_actor']",Acting
Andrew Garfield,"['is_male', 'is_actor']",Acting
Colin Farrell,"['is_male', 'is_actor']",Acting
Jonathan Rhys Meyers,"['is_male', 'is_actor']",Acting
Emma Roberts,"['is_female', 'is_actor']",Acting
Emilia Clarke,"['is_female', 'is_actor']",Acting
Emma D'Arcy,['is_actor'],Acting
Sigourney Weaver,"['is_female', 'is_actor']",Acting
Armie Hammer,"['is_male', 'is_actor']",Acting
Stellan Skarsgård,"['is_male', 'is_actor']",Acting
Robert De Niro,"['is_male', 'is_actor']",Acting
Aaron Paul,"['is_male', 'is_actor']",Acting
Jessica Henwick,"['is_female', 'is_actor']",Acting
Jean-Claude Van Damme,"['is_male', 'is_actor']",Acting
Steven Seagal,"['is_male', 'is_actor']",Acting
Benedict Cumberbatch,"['is_male', 'is_actor']",Acting
Anthony Edwards,"['is_male', 'is_actor']",Acting
Daniel Craig,"['is_male', 'is_actor']",Acting
Emily Carey,"['is_female', 'is_actor']",Acting
Nathalie Emmanuel,"['is_female', 'is_actor']",Acting
Kelly Reilly,"['is_female', 'is_actor']",Acting
Carol Kane,"['is_female', 'is_actor']",Acting
Adrien Brody,"['is_male', 'is_actor']",Acting
Patrick Stewart,"['is_male', 'is_actor']",Acting
Paul Anderson,"['is_male', 'is_actor']",Acting
Daniel Radcliffe,"['is_male', 'is_actor']",Acting
Richard Gere,"['is_male', 'is_actor']",Acting
Tobey Maguire,"['is_male', 'is_actor']",Acting
Tom Hopper,"['is_male', 'is_actor']",Acting
Natalie Dormer,"['is_female', 'is_actor']",Acting
Will Poulter,"['is_male', 'is_actor']",Acting
Kaya Scodelario,"['is_female', 'is_actor']",Acting
Vera Farmiga,"['is_female', 'is_actor']",Acting
Caylee Cowan,"['is_female', 'is_actor']",Acting
Brendan Fraser,"['is_male', 'is_actor']",Acting
Annabelle Wallis,"['is_female', 'is_actor']",Acting
Sandra Bullock,"['is_female', 'is_actor']",Acting
Alan Ritchson,"['is_male', 'is_actor']",Acting
Travis Fimmel,"['is_male', 'is_actor']",Acting
Jun Amaki,"['is_female', 'is_actor']",Acting
Michelle Monaghan,"['is_female', 'is_actor']",Acting
Oscar Isaac,"['is_male', 'is_actor']",Acting
Ester Expósito,"['is_female', 'is_actor']",Acting
Mads Mikkelsen,"['is_male', 'is_actor']",Acting
Rhea Seehorn,"['is_female', 'is_actor']",Acting
Katheryn Winnick,"['is_female', 'is_actor']",Acting
Michael Caine,"['is_male', 'is_actor']",Acting
Johnny Depp,"['is_male', 'is_actor']",Acting
Ewan McGregor,"['is_male', 'is_actor']",Acting
Bradley Cooper,"['is_male', 'is_actor']",Acting
Ever Anderson,"['is_female', 'is_actor']",Acting
Elizabeth Olsen,"['is_female', 'is_actor']",Acting
Freddie Highmore,"['is_male', 'is_actor']",Acting
Kat Dennings,"['is_female', 'is_actor']",Acting
Piper Perabo,"['is_female', 'is_actor']",Acting
Rebecca Ferguson,"['is_female', 'is_actor']",Acting
Alexandra Daddario,"['is_female', 'is_actor']",Acting
Indiana Evans,"['is_female', 'is_actor']",Acting
Ayanna Misola,"['is_female', 'is_actor']",Acting
Jim Carrey,"['is_male', 'is_actor']",Acting
Lisann Valentin,"['is_female', 'is_actor']",Acting
Hayley Atwell,"['is_female', 'is_actor']",Acting
Josh Brolin,"['is_male', 'is_actor']",Acting
Rosamund Pike,"['is_female', 'is_actor']",Acting
Scott Adkins,"['is_male', 'is_actor']",Acting
Pierce Brosnan,"['is_male', 'is_actor']",Acting
Taylor Sheridan,"['is_male', 'is_writer']",Writing
Joseph Gordon-Levitt,"['is_male', 'is_actor']",Acting
John Turturro,"['is_male', 'is_actor']",Acting
Winona Ryder,"['is_female', 'is_actor']",Acting
William Zabka,"['is_male', 'is_actor']",Acting
Anna-Maria Sieklucka,"['is_female', 'is_actor']",Acting
Angourie Rice,"['is_female', 'is_actor']",Acting
Lena Headey,"['is_female', 'is_actor']",Acting
Sofia Carson,"['is_female', 'is_actor']",Acting
Tom Sturridge,"['is_male', 'is_actor']",Acting
Hailee Steinfeld,"['is_female', 'is_actor']",Acting
Robert Davi,"['is_male', 'is_actor']",Acting
Connie Nielsen,"['is_female', 'is_actor']",Acting
Jacki Weaver,"['is_female', 'is_actor']",Acting
Robin Givens,"['is_female', 'is_actor']",Acting
Grace Van Patten,"['is_female', 'is_actor']",Acting
Karl Urban,"['is_male', 'is_actor']",Acting
María Valverde,"['is_female', 'is_actor']",Acting
Monica Bellucci,"['is_female', 'is_actor']",Acting
Kang Eun-hye,"['is_female', 'is_actor']",Acting
Yui Hatano,"['is_female', 'is_actor']",Acting
Gerard Butler,"['is_male', 'is_actor']",Acting
Donnie Yen,"['is_male', 'is_actor']",Acting
Clint Eastwood,"['is_male', 'is_actor']",Acting
Rob Guinto,"['is_female', 'is_actor']",Acting
Helena Bonham Carter,"['is_female', 'is_actor']",Acting
Han Seo-ah,"['is_female', 'is_actor']",Acting
Lee Pace,"['is_male', 'is_actor']",Acting
Rhona Mitra,"['is_female', 'is_actor']",Acting
Robert Patrick,"['is_male', 'is_actor']",Acting
Robert Duvall,"['is_male', 'is_actor']",Acting
Joe Keery,"['is_male', 'is_actor']",Acting
Annette O'Toole,"['is_female', 'is_actor']",Acting
Katherine Langford,"['is_female', 'is_actor']",Acting
Kevin Costner,"['is_male', 'is_actor']",Acting
Scarlett Estevez,"['is_female', 'is_actor']",Acting
Shantel VanSanten,"['is_female', 'is_actor']",Acting
Sadie Sandler,"['is_female', 'is_actor']",Acting
Helen Mirren,"['is_female', 'is_actor']",Acting
Anne Heche,"['is_female', 'is_actor']",Acting
Ashley Johnson,"['is_female', 'is_actor']",Acting
Thomas Brodie-Sangster,"['is_male', 'is_actor']",Acting
Akira Kurosawa,"['is_male', 'is_director']",Directing
Martin Lawrence,"['is_male', 'is_actor']",Acting
Dakota Fanning,"['is_female', 'is_actor']",Acting
Anya Taylor-Joy,"['is_female', 'is_actor']",Acting
Jack Black,"['is_male', 'is_actor']",Acting
Alexander Skarsgård,"['is_male', 'is_actor']",Acting
William Fichtner,"['is_male', 'is_actor']",Acting
Claire Forlani,"['is_female', 'is_actor']",Acting
Daniel Sunjata,"['is_male', 'is_actor']",Acting
Robert Pattinson,"['is_male', 'is_actor']",Acting
Natalia Dyer,"['is_female', 'is_actor']",Acting
Keanu Reeves,"['is_male', 'is_actor']",Acting
Andy Samberg,"['is_male', 'is_actor']",Acting
Adrianne Palicki,"['is_female', 'is_actor']",Acting
Hassie Harrison,"['is_female', 'is_actor']",Acting
Yoo Ji-won,"['is_female', 'is_actor']",Acting
Rupert Friend,"['is_male', 'is_actor']",Acting
Aubrey Plaza,"['is_female', 'is_actor']",Acting
Kate Beckinsale,"['is_female', 'is_actor']",Acting
Mile Phakphum Romsaithong,"['is_male', 'is_actor']",Acting
Rachel McAdams,"['is_female', 'is_actor']",Acting
Nina Dobrev,"['is_female', 'is_actor']",Acting
Jeff Goldblum,"['is_male', 'is_actor']",Acting
Tom Hiddleston,"['is_male', 'is_actor']",Acting
Zee Pruk Panich,"['is_male', 'is_actor']",Acting
Caleb McLaughlin,"['is_male', 'is_actor']",Acting
Laura Surrich,"['is_female', 'is_actor']",Acting
Bill Pullman,"['is_male', 'is_actor']",Acting
William Hurt,"['is_male', 'is_actor']",Acting
Noah Schnapp,"['is_male', 'is_actor']",Acting
Steve Carell,"['is_male', 'is_actor']",Acting
Will Patton,"['is_male', 'is_actor']",Acting
Leslie Mann,"['is_female', 'is_actor']",Acting
Sarah Shahi,"['is_female', 'is_actor']",Acting
Laura Dern,"['is_female', 'is_actor']",Acting
Kristen Stewart,"['is_female', 'is_actor']",Acting
Betty Gilpin,"['is_female', 'is_actor']",Acting
Woody Harrelson,"['is_male', 'is_actor']",Acting
Jamie Foxx,"['is_male', 'is_actor']",Acting
James McAvoy,"['is_male', 'is_actor']",Acting
Gemma Arterton,"['is_female', 'is_actor']",Acting
Jet Li,"['is_male', 'is_actor']",Acting
Boyd Holbrook,"['is_male', 'is_actor']",Acting
Belinda Gavin,"['is_female', 'is_actor']",Acting
Brianna Hildebrand,"['is_female', 'is_actor']",Acting
Sean Bean,"['is_male', 'is_actor']",Acting
Paul Dano,"['is_male', 'is_actor']",Acting
Harris Dickinson,"['is_male', 'is_actor']",Acting
Jodie Turner-Smith,"['is_female', 'is_actor']",Acting
Ian McKellen,"['is_male', 'is_actor']",Acting
Charles Dance,"['is_male', 'is_actor']",Acting
Richard Roxburgh,"['is_male', 'is_actor']",Acting
Dolph Lundgren,"['is_male', 'is_actor']",Acting
Tyler Hoechlin,"['is_male', 'is_actor']",Acting
Lauren German,"['is_female', 'is_actor']",Acting
Daryl Hannah,"['is_female', 'is_actor']",Acting
Dwayne Johnson,"['is_male', 'is_actor']",Acting
Mary Mouser,"['is_female', 'is_actor']",Acting
Paula Patton,"['is_female', 'is_actor']",Acting
George MacKay,"['is_male', 'is_actor']",Acting
Carrie Coon,"['is_female', 'is_actor']",Acting
Charlie Hunnam,"['is_male', 'is_actor']",Acting
Jaime Pressly,"['is_female', 'is_actor']",Acting
Bob Odenkirk,"['is_male', 'is_actor']",Acting
Joseph Quinn,"['is_male', 'is_actor']",Acting
Sofia Kappel,"['is_female', 'is_actor']",Acting
Tong Thanayut Thakoonauttaya,"['is_male', 'is_actor']",Acting
Stephanie Beatriz,"['is_female', 'is_actor']",Acting
Ian McShane,"['is_male', 'is_actor']",Acting
Amy Smart,"['is_female', 'is_actor']",Acting
Max Mittelman,"['is_male', 'is_actor']",Acting
Elle Fanning,"['is_female', 'is_actor']",Acting
Robin Wright,"['is_female', 'is_actor']",Acting
Madelyn Cline,"['is_female', 'is_actor']",Acting
Javier Bardem,"['is_male', 'is_actor']",Acting
Min Jung,"['is_female', 'is_actor']",Acting
James Caan,"['is_male', 'is_actor']",Acting
Jenna Coleman,"['is_female', 'is_actor']",Acting
Tom Skerritt,"['is_male', 'is_actor']",Acting
Orlando Bloom,"['is_male', 'is_actor']",Acting
Monica Barbaro,"['is_female', 'is_actor']",Acting
Bolo Yeung,"['is_male', 'is_actor']",Acting
Kurt Russell,"['is_male', 'is_actor']",Acting
Michael Keaton,"['is_male', 'is_actor']",Acting
Tim Roth,"['is_male', 'is_actor']",Acting
Emily Bloom,['is_female'],Art
Elisha Cuthbert,"['is_female', 'is_actor']",Acting
Pedro Pascal,"['is_male', 'is_actor']",Acting
Thengai Srinivasan,"['is_male', 'is_actor']",Acting
Tommy Lee Jones,"['is_male', 'is_actor']",Acting
Kevin Hart,"['is_male', 'is_actor']",Acting
Jacob Bertrand,"['is_male', 'is_actor']",Acting
Ben Affleck,"['is_male', 'is_actor']",Acting
Margot Robbie,"['is_female', 'is_actor']",Acting
Michael Shannon,"['is_male', 'is_actor']",Acting
Steve Zahn,"['is_male', 'is_actor']",Acting
Zoe Saldaña,"['is_female', 'is_actor']",Acting
Perth Nakhun Screaigh,"['is_male', 'is_actor']",Acting
Inbar Lavi,"['is_female', 'is_actor']",Acting
Tanaya Beatty,"['is_female', 'is_actor']",Acting
Alicia Vikander,"['is_female', 'is_actor']",Acting
Drew Barrymore,"['is_female', 'is_actor']",Acting
John Travolta,"['is_male', 'is_actor']",Acting
Christopher Lloyd,"['is_male', 'is_actor']",Acting
Cate Blanchett,"['is_female', 'is_actor']",Acting
Sharon Stone,"['is_female', 'is_actor']",Acting
Christina Hendricks,"['is_female', 'is_actor']",Acting
Madeleine McGraw,"['is_female', 'is_actor']",Acting
Ron Perlman,"['is_male', 'is_actor']",Acting
Bobby Lee,"['is_male', 'is_actor']",Acting
Ryan Phillippe,"['is_male', 'is_actor']",Acting
Thomas Doherty,"['is_male', 'is_actor']",Acting
Mike Angelo,"['is_male', 'is_actor']",Acting
Park Byung-eun,"['is_male', 'is_actor']",Acting
Billy Zane,"['is_male', 'is_actor']",Acting
Dave Bautista,"['is_male', 'is_actor']",Acting
Morena Baccarin,"['is_female', 'is_actor']",Acting
J.K. Simmons,"['is_male', 'is_actor']",Acting
David Tennant,"['is_male', 'is_actor']",Acting
Leelee Sobieski,"['is_female', 'is_actor']",Acting
Ludacris,"['is_male', 'is_actor']",Acting
Ahn So-hee,"['is_female', 'is_actor']",Acting
Jeremy Renner,"['is_male', 'is_actor']",Acting
Chiwetel Ejiofor,"['is_male', 'is_actor']",Acting
Dominique McElligott,"['is_female', 'is_actor']",Acting
Gal Gadot,"['is_female', 'is_actor']",Acting
James Marsden,"['is_male', 'is_actor']",Acting
Pam Grier,"['is_female', 'is_actor']",Acting
Ritu Arya,"['is_female', 'is_actor']",Acting
Keira Knightley,"['is_female', 'is_actor']",Acting
Eric Bana,"['is_male', 'is_actor']",Acting
Peter Dinklage,"['is_male', 'is_actor']",Acting
Ross Lynch,"['is_male', 'is_actor']",Acting
Erin Moriarty,"['is_female', 'is_actor']",Acting
Joanne Whalley,"['is_female', 'is_actor']",Acting
Josephine Langford,"['is_female', 'is_actor']",Acting
Dave Franco,"['is_male', 'is_actor']",Acting
Lucy Hale,"['is_female', 'is_actor']",Acting
Lisa Kudrow,"['is_female', 'is_actor']",Acting
Olga Kurylenko,"['is_female', 'is_actor']",Acting
Guy Pearce,"['is_male', 'is_actor']",Acting
Phoebe Cates,"['is_female', 'is_actor']",Acting
Elliot Page,['is_actor'],Acting
Kerem Bürsin,"['is_male', 'is_actor']",Acting
Johnny Knoxville,"['is_male', 'is_actor']",Acting
Sophie Rundle,"['is_female', 'is_actor']",Acting
Jamilla Obispo,"['is_female', 'is_actor']",Acting
Elisabeth Shue,"['is_female', 'is_actor']",Acting
Anne Winters,"['is_female', 'is_actor']",Acting
Adam Sandler,"['is_male', 'is_actor']",Acting
Amy Adams,"['is_female', 'is_actor']",Acting
Thora Birch,"['is_female', 'is_actor']",Acting
Vince Vaughn,"['is_male', 'is_actor']",Acting
Reese Witherspoon,"['is_female', 'is_actor']",Acting
Matt Dillon,"['is_male', 'is_actor']",Acting
Tamannaah Bhatia,"['is_female', 'is_actor']",Acting
Yoon Yool,"['is_female', 'is_actor']",Acting
Emma Watson,"['is_female', 'is_actor']",Acting
Antonio Banderas,"['is_male', 'is_actor']",Acting
Tim Matheson,"['is_male', 'is_actor']",Acting
Thomas Jane,"['is_male', 'is_actor']",Acting
C. Thomas Howell,"['is_male', 'is_actor']",Acting
Jeanne Tripplehorn,"['is_female', 'is_actor']",Acting
Alice Eve,"['is_female', 'is_actor']",Acting
Cynthia Addai-Robinson,"['is_female', 'is_actor']",Acting
Seth Rogen,"['is_male', 'is_actor']",Acting
Jude Law,"['is_male', 'is_actor']",Acting
Paul Bettany,"['is_male', 'is_actor']",Acting
Charlie Heaton,"['is_male', 'is_actor']",Acting
Rose Leslie,"['is_female', 'is_actor']",Acting
Rebecca Hall,"['is_female', 'is_actor']",Acting
Beau Bridges,"['is_male', 'is_actor']",Acting
Thomasin McKenzie,"['is_female', 'is_actor']",Acting
Téa Leoni,"['is_female', 'is_actor']",Acting
Jean Reno,"['is_male', 'is_actor']",Acting
John Cusack,"['is_male', 'is_actor']",Acting
Jin Si-ah,"['is_female', 'is_actor']",Acting
Nancy Jewel McDonie,"['is_female', 'is_actor']",Acting
Kim Tae-hyung,"['is_male', 'is_actor']",Acting
Natascha McElhone,"['is_female', 'is_actor']",Acting
Eddie Redmayne,"['is_male', 'is_actor']",Acting
Bailee Madison,"['is_female', 'is_actor']",Acting
Jamie Campbell Bower,"['is_male', 'is_actor']",Acting
Lauren Cohan,"['is_female', 'is_actor']",Acting
Pom Klementieff,"['is_female', 'is_actor']",Acting
Pilou Asbæk,"['is_male', 'is_actor']",Acting
Lucas Jade Zumann,"['is_male', 'is_actor']",Acting
Bill Nighy,"['is_male', 'is_actor']",Acting
Emma Mackey,"['is_female', 'is_actor']",Acting
Natasha Henstridge,"['is_female', 'is_actor']",Acting
Viggo Mortensen,"['is_male', 'is_actor']",Acting
Michele Morrone,"['is_male', 'is_actor']",Acting
Josh Hartnett,"['is_male', 'is_actor']",Acting
Jon Favreau,"['is_male', 'is_actor']",Acting
Andrew Scott,"['is_male', 'is_actor']",Acting
Clancy Brown,"['is_male', 'is_actor']",Acting
Robyn Lively,"['is_female', 'is_actor']",Acting
Takeshi Kitano,"['is_male', 'is_actor']",Acting
Carla Gugino,"['is_female', 'is_actor']",Acting
Yoona,"['is_female', 'is_actor']",Acting
Cybill Shepherd,"['is_female', 'is_actor']",Acting
Saoirse Ronan,"['is_female', 'is_actor']",Acting
Tae Hee,"['is_female', 'is_actor']",Acting
Caner Cindoruk,"['is_male', 'is_actor']",Acting
David Thewlis,"['is_male', 'is_actor']",Acting
Diego Luna,"['is_male', 'is_actor']",Acting
Dennis Quaid,"['is_male', 'is_actor']",Acting
Sophie Marceau,"['is_female', 'is_actor']",Acting
Sam Worthington,"['is_male', 'is_actor']",Acting
Amanda Peet,"['is_female', 'is_actor']",Acting
Christian Slater,"['is_male', 'is_actor']",Acting
Penélope Cruz,"['is_female', 'is_actor']",Acting
Jing Tian,"['is_female', 'is_actor']",Acting
Jeff Satur,"['is_male', 'is_actor']",Acting
Peter Weller,"['is_male', 'is_actor']",Acting
Jeffrey Dean Morgan,"['is_male', 'is_actor']",Acting
Maxim Baldry,"['is_male', 'is_actor']",Acting
Christina Ricci,"['is_female', 'is_actor']",Acting
Willem Dafoe,"['is_male', 'is_actor']",Acting
Joely Richardson,"['is_female', 'is_actor']",Acting
Mackenzie Davis,"['is_female', 'is_actor']",Acting
Robert Knepper,"['is_male', 'is_actor']",Acting
Julia Roberts,"['is_female', 'is_actor']",Acting
Eden Brolin,"['is_female', 'is_actor']",Acting
Malin Åkerman,"['is_female', 'is_actor']",Acting
Gwyneth Paltrow,"['is_female', 'is_actor']",Acting
Garto Pannawit Phattanasiri,"['is_male', 'is_actor']",Acting
Mickey Rourke,"['is_male', 'is_actor']",Acting
Elizabeth Debicki,"['is_female', 'is_actor']",Acting
